match_id,season,batsman,team,runs,balls,fours,sixes,strike_rate,dismissed
1,2008,V. Kohli,Rajasthan Royals,62,69,2,1,89.86,True
1,2008,R. Garg,Rajasthan Royals,12,12,0,0,100.0,True
1,2008,K. Rahul,Rajasthan Royals,44,55,1,1,80.0,True
1,2008,J. Roy,Rajasthan Royals,19,22,0,0,86.36,True
1,2008,D. Warner,Rajasthan Royals,2,15,0,0,13.33,True
1,2008,Y. Jaiswal,Rajasthan Royals,1,14,0,0,7.14,True
1,2008,V. Kohli,Mumbai Indians,2,2,0,0,100.0,True
1,2008,R. Pant,Mumbai Indians,2,2,0,0,100.0,True
1,2008,A. Finch,Mumbai Indians,107,107,2,3,100.0,True
1,2008,Y. Jaiswal,Mumbai Indians,9,14,0,0,64.29,True
1,2008,Q. de Kock,Mumbai Indians,11,11,0,0,100.0,True
1,2008,D. Warner,Mumbai Indians,5,16,0,0,31.25,True
2,2008,A. Finch,Gujarat Titans,17,17,1,0,100.0,True
2,2008,R. Pant,Gujarat Titans,32,32,1,0,100.0,True
2,2008,K. Williamson,Gujarat Titans,18,18,0,0,100.0,True
2,2008,S. Yadav,Gujarat Titans,18,18,0,0,100.0,False
2,2008,D. Warner,Gujarat Titans,12,12,0,0,100.0,False
2,2008,R. Sharma,Gujarat Titans,4,5,0,0,80.0,True
2,2008,R. Tewatia,Royal Challengers Bangalore,14,19,0,0,73.68,True
2,2008,A. Finch,Royal Challengers Bangalore,47,51,2,0,92.16,True
2,2008,H. Pandya,Royal Challengers Bangalore,10,10,0,0,100.0,True
2,2008,Q. de Kock,Royal Challengers Bangalore,5,16,0,0,31.25,True
2,2008,F. du Plessis,Royal Challengers Bangalore,4,8,0,0,50.0,True
2,2008,K. Rahul,Royal Challengers Bangalore,2,6,0,0,33.33,True
2,2008,R. Garg,Royal Challengers Bangalore,18,24,0,0,75.0,False
3,2008,A. Russell,Chennai Super Kings,4,16,0,0,25.0,True
3,2008,R. Garg,Chennai Super Kings,17,29,0,0,58.62,True
3,2008,K. Rahul,Chennai Super Kings,12,15,0,0,80.0,True
3,2008,S. Yadav,Chennai Super Kings,10,15,0,0,66.67,False
3,2008,A. Finch,Chennai Super Kings,8,8,0,0,100.0,False
3,2008,V. Kohli,Chennai Super Kings,7,7,0,0,100.0,True
3,2008,K. Williamson,Chennai Super Kings,12,12,0,0,100.0,True
3,2008,D. Warner,Lucknow Super Giants,25,25,0,0,100.0,True
3,2008,R. Garg,Lucknow Super Giants,29,29,1,0,100.0,True
3,2008,A. Finch,Lucknow Super Giants,18,22,1,0,81.82,False
3,2008,Y. Jaiswal,Lucknow Super Giants,10,13,0,0,76.92,True
3,2008,S. Yadav,Lucknow Super Giants,2,4,0,0,50.0,True
3,2008,K. Rahul,Lucknow Super Giants,25,25,1,0,100.0,False
3,2008,A. Russell,Lucknow Super Giants,0,2,0,0,0.0,True
3,2008,S. Dhawan,Lucknow Super Giants,0,10,0,0,0.0,False
3,2008,R. Sharma,Lucknow Super Giants,2,11,0,0,18.18,False
3,2008,F. du Plessis,Lucknow Super Giants,38,41,1,1,92.68,True
4,2008,R. Garg,Delhi Capitals,15,16,0,0,93.75,True
4,2008,S. Dhawan,Delhi Capitals,19,19,0,0,100.0,False
4,2008,A. Finch,Delhi Capitals,56,56,3,1,100.0,False
4,2008,S. Yadav,Delhi Capitals,10,10,0,0,100.0,False
4,2008,S. Samson,Delhi Capitals,10,10,0,0,100.0,True
4,2008,V. Kohli,Delhi Capitals,1,5,0,0,20.0,True
4,2008,K. Williamson,Delhi Capitals,0,8,0,0,0.0,True
4,2008,J. Roy,Delhi Capitals,6,9,0,0,66.67,True
4,2008,A. Russell,Delhi Capitals,1,8,0,0,12.5,False
4,2008,K. Rahul,Delhi Capitals,22,22,0,0,100.0,True
4,2008,J. Roy,Lucknow Super Giants,31,31,0,0,100.0,False
4,2008,S. Samson,Lucknow Super Giants,15,15,0,0,100.0,False
4,2008,R. Sharma,Lucknow Super Giants,26,32,1,0,81.25,False
4,2008,Q. de Kock,Lucknow Super Giants,78,78,3,0,100.0,True
4,2008,S. Iyer,Lucknow Super Giants,34,36,1,0,94.44,False
4,2008,S. Dhawan,Lucknow Super Giants,7,13,0,0,53.85,True
4,2008,R. Pant,Lucknow Super Giants,9,21,0,0,42.86,True
4,2008,T. Head,Lucknow Super Giants,15,29,0,0,51.72,False
4,2008,Y. Jaiswal,Lucknow Super Giants,6,13,0,0,46.15,True
5,2008,F. du Plessis,Delhi Capitals,43,52,2,0,82.69,False
5,2008,Y. Jaiswal,Delhi Capitals,8,17,0,0,47.06,False
5,2008,A. Finch,Delhi Capitals,13,15,0,0,86.67,False
5,2008,K. Williamson,Delhi Capitals,33,33,1,0,100.0,True
5,2008,A. Russell,Delhi Capitals,3,16,0,0,18.75,False
5,2008,S. Yadav,Delhi Capitals,4,4,0,0,100.0,False
5,2008,V. Kohli,Delhi Capitals,15,22,0,0,68.18,True
5,2008,K. Rahul,Delhi Capitals,12,12,0,0,100.0,False
5,2008,D. Warner,Delhi Capitals,4,13,0,0,30.77,True
5,2008,A. Russell,Royal Challengers Bangalore,23,32,1,0,71.88,True
